case	op	operand	verts	tris	clean	introduced	nonmanifold_edges	nonmanifold_verts	boundary_edges	misoriented_pairs	improper_pairs	unresolved_pairs	duplicate_tris	index_degenerate	collinear_degenerate	vertex_twins	unreferenced_verts
F0065	086_union	b	40	76	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0065	087_union	a	505	1006	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0065	087_union	b	4252	8500	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0065	088_union	a	3853	7702	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0065	088_union	b	4454	8904	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0065	089_union	a	2882	5760	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0065	089_union	b	1266	2528	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0065	090_union	a	2156	4308	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0065	090_union	b	814	1624	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0065	091_union	a	1886	3768	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0065	091_union	b	40	76	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0066	092_union	a	48	92	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0066	092_union	b	28	52	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0066	093_union	a	48	92	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0066	093_union	b	38	72	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0066	094_union	a	86	168	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0066	094_union	b	32	60	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0066	095_union	a	96	188	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0066	095_union	b	48	92	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0066	096_union	a	118	232	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
F0066	096_union	b	35	66	true	false	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0	0/0
